Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Dividend Yield,Sector,Industry,About
SHAKTIPUMP,1284,-4.52,,09-Jan-25,Equity,"? 10,159 Cr.",28.2,22.60%,29.50%,0.08%,Capital Goods-Non Electrical Equipment,Pumps,"Shakti Pumps (India) Ltd is primarily engaged in manufacturing of pumps and motors of various kinds. It also offers advanced water pumping solutions to a wide range of applications such as irrigation, horticulture, domestic water supply, commercial and industrial applications.
Its brand ""Shakti"" is well received in the domestic and international markets."
SRF,2664.35,13.33,,09-Jan-25,Equity,"? 81,584 Cr.",68.4,13.90%,14.60%,0.26%,Chemicals,Chemicals,"Incorporated in 1970, SRF Ltd manufactures and sells technical textiles, chemicals, packaging films, aluminum foils, and other polymers[1]"
SUNCLAY,2817,-1.15,,09-Jan-25,Equity,"? 5,419 Cr.",70.1,16.40%,13.50%,0.21%,"Castings, Forgings & Fastners",Castings & Forgings,"Incorporated in 1962, Sundaram Clayton Ltd
is in the business of manufacturing automotive components[1]"
TECHLABS,1580,-0.84,,09-Jan-25,SME,"? 1,764 Cr.",111,28.30%,29.50%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2000, Trident Techlabs Ltd
sells goods and also provides power sector consultancy[1]"
VARDMNPOLY,14.98,2.67,,09-Jan-25,Equity,? 520 Cr.,34.9,%,%,0.00%,Textiles,Textiles - Cotton/Blended,"Incorporated in 1981, Vardhman Polytex
Ltd manufactures yarn and garments[1]"
VIJAYA,1216.75,0.63,,09-Jan-25,Equity,"? 9,460 Cr.",71.4,17.20%,18.90%,0.11%,Healthcare,Healthcare,"Vijaya Diagnostics Centre limited is a leading diagnostic medicare services provider in Southern India and offers comprehensive services that include nuclear medicine, radiology, laboratory, health check-ups and medical services. The company provides its services across 13 cities through its 81 diagnostic centers and 11 reference laboratories."
ZOTA,1005,1.33,,09-Jan-25,Equity,"? 2,412 Cr.",387,3.13%,4.56%,0.11%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Zota Health Care Limited is a renowned pharmaceutical company that manufactures, markets, and exports pharmaceutical, ayurvedic, nutraceutical, and over-the-counter (OTC) products across boundaries into the semi-regulated and regulated markets of Asian Countries markets of African Countries, Russian Countries & Latin America."
ATLASCYCLE,112.81,9.99,38,10-Jan-25,Equity,? 79.8 Cr.,5.26,-28.10%,-26.70%,0.00%,Consumer Durables,Cycles And Accessories,"Incorporated in 1951, Atlas Cycles Ltd are the manufacturers of bicycles[1]"
C2C,938.45,5,59,10-Jan-25,SME,? 995 Cr.,80.2,31.40%,38.70%,0.00%,Aerospace & Defence,Engineering,C2C Advanced System is a vertically integrated defense electronics solutions provider catering to the indigenously developed defense products industry in India.
GICL,112.5,2.09,38,10-Jan-25,SME,? 269 Cr.,87.5,6.01%,8.65%,0.00%,Logistics,Miscellaneous,"Incorporated in 2010, Globe International
Carriers Ltd. is an end-to-end transportation
and logistic service provider[1]"
HCLTECH,1997.1,3.22,44,10-Jan-25,Equity,"? 4,64,376 Cr.",38.8,28.70%,37.50%,3.16%,IT - Software,Computers - Software - Large,"HCL Tech is a leading global IT services company, which is ranked amongst the top five Indian IT services companies in terms of revenues. Since its inception into the global landscape after its IPO in 1999, HCL Tech has focused on transformational outsourcing, and offers an integrated portfolio of services including software-led IT solutions, remote infrastructure management, engineering and R&D services and BPO. The company leverages its extensive global offshore infrastructure and network of offices in 46 countries to provide multi-service delivery in key industry verticals."
INDOTHAI,1731.35,5,38,10-Jan-25,Equity,"? 1,957 Cr.",140,25.90%,32.50%,0.08%,Stock/ Commodity Brokers,Finance & Investments,"Incorporated in 1995, Indo Thai Securities
Ltd is in the business as stock and share brokers[1]"
IRIS,525.35,5,38,10-Jan-25,Equity,? 777 Cr.,53.9,21.30%,23.70%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2000, IRIS Business Services
Ltd offers Regtech solutions to regulators and enterprises[1]"
KALYANIFRG,771,-5,38,10-Jan-25,Equity,? 205 Cr.,30.1,5.64%,8.85%,0.53%,"Castings, Forgings & Fastners",Castings & Forgings,"Incorporated in 1979, Kalyani Forge Ltd manufactures high-quality, hot-warm and cold-forged products[1]"
LLOYDSME,1449.85,0.98,44,10-Jan-25,Equity,"? 59,466 Cr.",39,56.60%,78.30%,0.09%,Mining & Mineral products,Mining / Minerals / Metals,"Lloyds Metals & Energy is into the business of manufacturing of Sponge Iron, Power generation and mining activities.[1]"
MAZDA,1952,12.81,39,10-Jan-25,Equity,? 499 Cr.,17.4,15.90%,21.30%,1.28%,Capital Goods-Non Electrical Equipment,Engineering,"Mazda Limited, incorporated in 1990, is engaged in the business of manufacturing Engineering goods like Vacuum Products, Evaporators, Pollution Control Equipments and Manufacturing of Food Products like Food colour, Various Fruit Jams & Fruit mix Powders etc."
OMFURN,109.95,0.41,38,10-Jan-25,SME,? 120 Cr.,28.9,9.35%,13.50%,0.00%,Consumer Durables,Miscellaneous,"Incorporated in 1997, Omfurn India Ltd manufactures, supplies and exports Commercial and Residential Furniture[1]"
PIGL,417,5,38,10-Jan-25,Equity,? 404 Cr.,35.7,12.20%,17.00%,0.08%,Capital Goods - Electrical Equipment,Electric Equipment,"Incorporated in 1975, Power & Instrumentation (Gujarat) Ltd is in the business of Electrical Contract Work and deals in electrical
equipment"
PTCIL,17018,-2.15,38,10-Jan-25,Equity,"? 19,604 Cr.",800,5.22%,7.83%,0.00%,"Castings, Forgings & Fastners",Castings & Forgings,"PTC Industries Limited manufactures metal components for critical and supercritical applications for industries like Defence, Oil & Gas, Liquefied Natural Gas (LNG), Ships & Marine etc. {# https://www.bseindia.com/bseplus/AnnualReport/539006/72682539006.pdf#page.20000"
VARDMNPOLY,14.5,-2.62,38,10-Jan-25,Equity,? 520 Cr.,34.9,%,%,0.00%,Textiles,Textiles - Cotton/Blended,"Incorporated in 1981, Vardhman Polytex
Ltd manufactures yarn and garments[1]"
ZOTA,980,-3.38,38,10-Jan-25,Equity,"? 2,412 Cr.",387,3.13%,4.56%,0.11%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Zota Health Care Limited is a renowned pharmaceutical company that manufactures, markets, and exports pharmaceutical, ayurvedic, nutraceutical, and over-the-counter (OTC) products across boundaries into the semi-regulated and regulated markets of Asian Countries markets of African Countries, Russian Countries & Latin America."
APEXECO,146,-3.95,44,11-Jan-25,SME,? 164 Cr.,24.8,60.40%,79.10%,0.00%,Capital Goods-Non Electrical Equipment,Engineering,"Founded in 2009, Apex Ecotech Limited provides comprehensive water and wastewater treatment, recycling, and reuse solutions for a variety of applications.[1]"
ARSSINFRA,29.89,4.99,44,11-Jan-25,Equity,? 65.9 Cr.,46.1,%,-2.32%,0.00%,Infrastructure Developers & Operators,Construction,"Incorporated in 2000, ARSS Infrastructure Projects Ltd is in the business of project execution for various civil and infrastructure projects"
ATLASCYCLE,124.09,10,37,11-Jan-25,Equity,? 79.8 Cr.,5.26,-28.10%,-26.70%,0.00%,Consumer Durables,Cycles And Accessories,"Incorporated in 1951, Atlas Cycles Ltd are the manufacturers of bicycles[1]"
BGLOBAL,5.18,4.86,41,11-Jan-25,Equity,? 6.67 Cr.,Book Value,-2.38%,-1.90%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 1994, Bharatiya Global Infomedia Ltd is into Information Technology & IT based products. Company deals in products/services around Digital/Electronic Security & Surveillance, Enterprise Process Automation, Embedded Computing Applications, Consulting and System Integration & Design."
C2C,890.95,-5,37,11-Jan-25,SME,? 995 Cr.,80.2,31.40%,38.70%,0.00%,Aerospace & Defence,Engineering,C2C Advanced System is a vertically integrated defense electronics solutions provider catering to the indigenously developed defense products industry in India.
GICL,118,3.37,37,11-Jan-25,SME,? 269 Cr.,87.5,6.01%,8.65%,0.00%,Logistics,Miscellaneous,"Incorporated in 2010, Globe International
Carriers Ltd. is an end-to-end transportation
and logistic service provider[1]"
GSMFOILS,117.45,0,100,11-Jan-25,SME,? 168 Cr.,123,%,%,0.00%,Non Ferrous Metals,Aluminium and Aluminium Products,"Established in April 2019, GSM Foils Limited specializes in manufacturing Blister Foils and Aluminium Pharma Foils, which are primarily used for packaging pharmaceutical medicines like capsules and tablets."
HCLTECH,1975,-1.01,37,11-Jan-25,Equity,"? 4,64,376 Cr.",38.8,28.70%,37.50%,3.16%,IT - Software,Computers - Software - Large,"HCL Tech is a leading global IT services company, which is ranked amongst the top five Indian IT services companies in terms of revenues. Since its inception into the global landscape after its IPO in 1999, HCL Tech has focused on transformational outsourcing, and offers an integrated portfolio of services including software-led IT solutions, remote infrastructure management, engineering and R&D services and BPO. The company leverages its extensive global offshore infrastructure and network of offices in 46 countries to provide multi-service delivery in key industry verticals."
HVAX,896,-4.94,41,11-Jan-25,SME,? 175 Cr.,15.2,36.80%,30.00%,0.00%,Engineering,Engineering - Turnkey Services,"Established in 2010, HVAX Technologies Limited provides turnkey engineering, procurement, and execution of controlled environment and cleanroom infrastructure, design, engineering, and consulting services to pharmaceutical and healthcare companies."
INDOTHAI,1817.9,5,37,11-Jan-25,Equity,"? 1,957 Cr.",140,25.90%,32.50%,0.08%,Stock/ Commodity Brokers,Finance & Investments,"Incorporated in 1995, Indo Thai Securities
Ltd is in the business as stock and share brokers[1]"
IRIS,551.6,5,37,11-Jan-25,Equity,? 777 Cr.,53.9,21.30%,23.70%,0.00%,IT - Software,Computers - Software - Medium / Small,"Incorporated in 2000, IRIS Business Services
Ltd offers Regtech solutions to regulators and enterprises[1]"
ITTL,27.2,4.82,40,11-Jan-25,SME,? 28.2 Cr.,Book Value,%,-26.60%,0.00%,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]"
KIMS,628.2,-3.31,39,11-Jan-25,Equity,"? 23,262 Cr.",90.3,13.40%,16.90%,0.00%,Healthcare,Healthcare,"Krishna Medical Institution Ltd (KIMS) was Incorporated in the year 1973 and is one of the largest corporate healthcare groups in Andhra Pradesh and Telangana in terms of patients treated and treatments offered. The company offers multidisciplinary healthcare services with primary, secondary, and tertiary care across 2-3 tier cities and an additional quaternary healthcare facility in tier-1 cities."
OMFURN,109,-0.73,37,11-Jan-25,SME,? 120 Cr.,28.9,9.35%,13.50%,0.00%,Consumer Durables,Miscellaneous,"Incorporated in 1997, Omfurn India Ltd manufactures, supplies and exports Commercial and Residential Furniture[1]"
PKTEA,780,-1.7,51,11-Jan-25,Equity,? 206 Cr.,66.7,0.42%,1.50%,0.15%,Plantation & Plantation Products,Tea,"Incorporated in 1913, Peria Karamalai
Tea & Produce Co Ltd deals in production
and distribution of Tea, generation and distribution of power and investment in
financial instruments"
SGLTL,163.2,-5.12,,11-Jan-25,Equity,"? 2,861 Cr.",108,11.80%,15.00%,0.00%,Capital Goods-Non Electrical Equipment,Engineering,"Incorporated in September 2012, Standard Glass Lining Technology Limited is a manufacturer of engineering equipment for the pharmaceutical and chemical sectors in India."
UNIVAFOODS,9.68,0,48,11-Jan-25,Equity,? 14.6 Cr.,Book Value,%,-355%,0.00%,Hotels & Restaurants,Hotels,"Incorporated in 1991, Univa Foods Ltd (Formerly Hotel Rugby Ltd) is in the hotel business[1]"
UNIVASTU,312.55,9.99,46,11-Jan-25,Equity,? 273 Cr.,25,9.61%,12.80%,0.00%,Infrastructure Developers & Operators,Construction,"Incorporated in 2009, Univastu India Ltd is in the construction business[1]"
VIJAYA,1218.1,-1.91,38,11-Jan-25,Equity,"? 9,460 Cr.",71.4,17.20%,18.90%,0.11%,Healthcare,Healthcare,"Vijaya Diagnostics Centre limited is a leading diagnostic medicare services provider in Southern India and offers comprehensive services that include nuclear medicine, radiology, laboratory, health check-ups and medical services. The company provides its services across 13 cities through its 81 diagnostic centers and 11 reference laboratories."
AARVEEDEN,150.85,4.85,5,12-Feb-25,Equity,? 352 Cr.,20.2,-117%,-10.00%,0.00%,Textiles,Textiles - Cotton/Blended,"Incorporated in 1988, Aarvee Denims and Exports Ltd manufactures and sells denim and non denim Fabrics"
AGARWALEYE,422,3.72,9,12-Feb-25,Equity,"? 13,867 Cr.",889,1.74%,7.71%,0.00%,Healthcare,Healthcare,"Incorporated in 2010, Dr. Agarwal's Health Care Limited provides a wide spectrum of eye care services and the retailing of optical products, contact lenses, accessories, and eye care-related pharmaceuticals."
BAHETI,492,2.48,6,12-Feb-25,SME,? 493 Cr.,43.7,18.90%,15.60%,0.11%,Non Ferrous Metals,Aluminium and Aluminium Products,"Incorporated in 1994, Baheti Recycling
Industries Ltd manufactures and trades
non-ferrous metal[1]"
JAKHARIA,63.7,4.94,9,12-Feb-25,SME,? 25.9 Cr.,Book Value,2.08%,8.33%,0.00%,Textiles,Textiles - Products,"Incorporated in 2007, Jakharia Fabric Ltd is a manufacturer of textile products including Job work[1]"
JALAN,10.8,4.85,5,12-Feb-25,SME,? 17.2 Cr.,15.2,%,3.62%,0.00%,Logistics,Miscellaneous,"Incorporated in 2003, Jalan Transolutions Ltd is in the business of providing transportation services[1]"
KEN,80.75,-5,,12-Feb-25,SME,? 179 Cr.,20.3,22.20%,28.60%,0.00%,Textiles,Textiles - Products,"Incorporated in 1998, Ken Enterprises Limited is engaged in the business of textile manufacturing.[1]"
MAHASTEEL,233.8,5,104,12-Feb-25,Equity,? 378 Cr.,139,3.07%,6.23%,0.00%,Steel,Steel - Medium / Small,"Incorporated in 1988, Mahamaya Steel Industries Ltd does manufacturing steel structures in the shape of Angles, Beams, Joist, Channels, Rounds, Flats, Railway sleepers, etc."
NORBTEAEXP,33.15,4.97,5,12-Feb-25,Equity,? 42.9 Cr.,Book Value,-12.20%,-2.57%,0.00%,Plantation & Plantation Products,Tea,"Incorporated in 1990, Norben Tea & Exports Limited is engaged in the business of growing and manufacturing of Tea and providing Commission."
SONUINFRA,129,2.38,5,12-Feb-25,SME,? 96.3 Cr.,Book Value,12.10%,12.10%,0.00%,Infrastructure Developers & Operators,Construction,"Incorporated in 2017, Sonu Infratech Ltd is in the business of Construction of Mechanical & Civil Work[1]"
VIMTALABS,1144,9.42,9,12-Feb-25,Equity,"? 2,485 Cr.",42.5,12.90%,16.80%,0.18%,Healthcare,Miscellaneous,"Incorporated in 1990, Vimta Labs Ltd is a contract research and testing services provider[1]"
AARVEEDEN,156.6,3.76,4,13-Feb-25,Equity,? 352 Cr.,20.2,-117%,-10.00%,0.00%,Textiles,Textiles - Cotton/Blended,"Incorporated in 1988, Aarvee Denims and Exports Ltd manufactures and sells denim and non denim Fabrics"
AGARWALEYE,449,5.5,4,13-Feb-25,Equity,"? 13,867 Cr.",889,1.74%,7.71%,0.00%,Healthcare,Healthcare,"Incorporated in 2010, Dr. Agarwal's Health Care Limited provides a wide spectrum of eye care services and the retailing of optical products, contact lenses, accessories, and eye care-related pharmaceuticals."
BAHETI,492,0.19,4,13-Feb-25,SME,? 493 Cr.,43.7,18.90%,15.60%,0.11%,Non Ferrous Metals,Aluminium and Aluminium Products,"Incorporated in 1994, Baheti Recycling
Industries Ltd manufactures and trades
non-ferrous metal[1]"
JALAN,11.3,4.63,4,13-Feb-25,SME,? 17.2 Cr.,15.2,%,3.62%,0.00%,Logistics,Miscellaneous,"Incorporated in 2003, Jalan Transolutions Ltd is in the business of providing transportation services[1]"
KOTAKBANK,1964.75,1.07,5,13-Feb-25,Equity,"? 3,88,174 Cr.",27.1,15.30%,7.24%,0.10%,Banks,Banks - Private Sector,"Kotak Mahindra Bank is a diversified financial services group providing a wide range of banking and financial services including Retail Banking, Treasury and Corporate Banking, Investment Banking, Stock Broking, Vehicle Finance, Advisory services, Asset Management, Life Insurance and General Insurance."
MUTHOOTFIN,2320.1,6.29,11,13-Feb-25,Equity,"? 90,526 Cr.",19.1,17.90%,13.20%,1.06%,Finance,Finance & Investments,Muthoot Finance is NBFC engaged in the business of providing gold loans. The company predominately operates in Southern India[1]
NORBTEAEXP,34.8,4.98,4,13-Feb-25,Equity,? 42.9 Cr.,Book Value,-12.20%,-2.57%,0.00%,Plantation & Plantation Products,Tea,"Incorporated in 1990, Norben Tea & Exports Limited is engaged in the business of growing and manufacturing of Tea and providing Commission."
READYMIX,116.85,-5,,13-Feb-25,SME,? 122 Cr.,13.1,65.90%,60.60%,0.00%,Engineering,Engineering,"Incorporated in 2012, Readymix Construction Machinery Limited is a multidisciplinary manufacturer and supplier in the construction equipment sector.[1]"
REDINGTON,244.73,6.85,6,13-Feb-25,Equity,"? 19,174 Cr.",13.8,30.90%,28.90%,2.53%,Trading,Trading,"Established in the year 1993, Redington Limited is a leading distributor of IT and mobility products and a provider of supply chain management solutions and support services in India, the Middle East, Turkey and Africa."
SBICARD,859.5,5.28,13,13-Feb-25,Equity,"? 81,721 Cr.",40,22.00%,12.50%,0.29%,Finance,Finance & Investments,"SBI Cards and Payment Services Limited is a non-deposit accepting systemically important nonbanking financial company registered with the RBI. The Company is engaged in issuing credit cards to consumers in India. It is headquartered in Gurgaon, Haryana. It is a subsidiary of India�s largest commercial bank, the State Bank of India."
SHREECEM,28185.35,-0.18,215,13-Feb-25,Equity,"? 1,03,032 Cr.",79.1,12.80%,15.40%,0.37%,Cement,Cement - North India,Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement producer in India with an installed capacity of 46.4 MTPA.
AARVEEDEN,156,-0.28,3,14-Feb-25,Equity,? 352 Cr.,20.2,-117%,-10.00%,0.00%,Textiles,Textiles - Cotton/Blended,"Incorporated in 1988, Aarvee Denims and Exports Ltd manufactures and sells denim and non denim Fabrics"
ELGNZ,117.5,-3.69,,14-Feb-25,SME,? 262 Cr.,23,26.60%,23.50%,0.00%,Miscellaneous,Miscellaneous,"Incorporated in 1996, Eleganz Interiors Limited is engaged in the business of Interior solutions for corporations, laboratories, airport lounges, etc.[1]"
JALAN,11.85,4.87,3,14-Feb-25,SME,? 17.2 Cr.,15.2,%,3.62%,0.00%,Logistics,Miscellaneous,"Incorporated in 2003, Jalan Transolutions Ltd is in the business of providing transportation services[1]"
JUBLCPL,1510.4,-5,,14-Feb-25,Equity,"? 2,276 Cr.",43.5,%,%,0.00%,Trading,Trading,Jubilant Agri and Consumer Products is a part of the Jubilant Bhartia Group. Our Company is a diversified company engaged in manufacturing of performance polymers and chemicals as well as agri-products.
NATCAPSUQ,259.1,2.23,,14-Feb-25,Equity,? 258 Cr.,44.7,6.10%,8.43%,0.00%,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 1993, Natural Capsules manufactures Capsules and Steroidal APIs and their Intermediates and Derivatives[1]"
NORBTEAEXP,35.1,0.86,3,14-Feb-25,Equity,? 42.9 Cr.,Book Value,-12.20%,-2.57%,0.00%,Plantation & Plantation Products,Tea,"Incorporated in 1990, Norben Tea & Exports Limited is engaged in the business of growing and manufacturing of Tea and providing Commission."
SBICARD,858.6,-0.15,3,14-Feb-25,Equity,"? 81,721 Cr.",40,22.00%,12.50%,0.29%,Finance,Finance & Investments,"SBI Cards and Payment Services Limited is a non-deposit accepting systemically important nonbanking financial company registered with the RBI. The Company is engaged in issuing credit cards to consumers in India. It is headquartered in Gurgaon, Haryana. It is a subsidiary of India�s largest commercial bank, the State Bank of India."
AARTIPHARM,782.9,8.91,10.0,17-Feb-2025,Equity,"₹ 7,157 Cr.",30.9,13.1 %,16.4 %,0.38 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 2019, Aarti Pharmalabs Ltd is a manufacturer of Pharmaceuticals and Nutraceuticals[1]"
AJAXENGG,593.4,3.02,,17-Feb-2025,Equity,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape
AXISGOLD,72.08,-1.17,5.0,17-Feb-2025,Equity,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape
CAMLINFINE,148.4,8.35,6.0,17-Feb-2025,Equity,"₹ 2,821 Cr.",Book Value,-7.23 %,0.37 %,0.00 %,Chemicals,Chemicals,Camlin Fine Sciences is engaged in the Business of Speciality Chemicals.
CHANDAN,173.35,5.0,,17-Feb-2025,SME,₹ 424 Cr.,Book Value,-2.99 %,4.23 %,0.00 %,Healthcare,Healthcare,"Incorporated in September 2003, Chandan Healthcare Limited runs diagnostic centers in North India with pathology and radiology testing services.[1]"
ITTL,28.8,1.95,14.0,17-Feb-2025,SME,₹ 28.8 Cr.,Book Value,%,-26.6 %,0.00 %,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]"
JALAN,12.4,4.64,3.0,17-Feb-2025,SME,₹ 18.0 Cr.,16.0,%,3.62 %,0.00 %,Logistics,Miscellaneous,"Incorporated in 2003, Jalan Transolutions Ltd is in the business of providing transportation services[1]"
JYOTI-RE1,2.11,-34.88,,17-Feb-2025,Equity,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape
NATCAPSUQ,243.0,-2.62,3.0,17-Feb-2025,Equity,₹ 246 Cr.,42.6,6.10 %,8.43 %,0.00 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 1993, Natural Capsules manufactures Capsules and Steroidal APIs and their Intermediates and Derivatives[1]"
NITIRAJ,308.0,12.85,214.0,17-Feb-2025,Equity,₹ 311 Cr.,25.2,16.1 %,21.0 %,0.50 %,Electronics,Electronics - Components,"Incorporated in 1989, Nitiraj Engineers Ltd manufactures and sells Electronic Weighing Scales, Currency Counting Machines, Taxi Fare Meters, etc.[1]"
NORBTEAEXP,38.36,4.98,3.0,17-Feb-2025,Equity,₹ 45.0 Cr.,Book Value,-12.2 %,-2.57 %,0.00 %,Plantation & Plantation Products,Tea,"Incorporated in 1990, Norben Tea & Exports Limited is engaged in the business of growing and manufacturing of Tea and providing Commission."
RAJVIR,10.26,4.91,21.0,17-Feb-2025,Equity,₹ 4.10 Cr.,Book Value,%,-16.1 %,0.00 %,Textiles,Textiles - Jute - Yarn / Products,"Incorporated in 2004, Rajvir Industries Ltd is engaged in manufacturing of Yarn and Trading of raw cotton"
REDINGTON,241.99,-1.33,4.0,17-Feb-2025,Equity,"₹ 18,991 Cr.",13.6,30.9 %,28.9 %,2.55 %,Trading,Trading,"Established in the year 1993, Redington Limited is a leading distributor of IT and mobility products and a provider of supply chain management solutions and support services in India, the Middle East, Turkey and Africa."
SWANDEF,55.61,4.98,7.0,17-Feb-2025,Equity,₹ 278 Cr.,Book Value,-23.8 %,-3.53 %,0.00 %,Ship Building,Miscellaneous,"Incorporated in 1997, Reliance Naval and Engineering Ltd is engaged in the construction of vessels, repairs and refits of ships and rigs and heavy engineering"
TRANSTEEL,102.0,1.34,40.0,17-Feb-2025,SME,₹ 200 Cr.,17.2,22.0 %,23.5 %,0.00 %,Consumer Durables,Miscellaneous,"Incorporated in February 1995, Transteel is a furniture company catering to corporate and B2B sectors.[1]"
UNIVAFOODS,10.16,0.0,7.0,17-Feb-2025,Equity,₹ 14.6 Cr.,Book Value,%,-355 %,0.00 %,Hotels & Restaurants,Hotels,"Incorporated in 1991, Univa Foods Ltd (Formerly Hotel Rugby Ltd) is in the hotel business[1]"
ZTECH,624.7,0.37,7.0,17-Feb-2025,SME,₹ 799 Cr.,57.9,45.7 %,58.2 %,0.00 %,Entertainment,Recreation / Amusement Parks,"Incorporated in November 1994, Z-Tech (India) Limited designs civil engineering products and provides state-of-the-art specialty Geo-Technical Solutions for infrastructure and civil construction projects in India."
AARTIPHARM,782.9,8.91,10.0,17-Feb-2025,Equity,"₹ 7,157 Cr.",30.9,13.1 %,16.4 %,0.38 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 2019, Aarti Pharmalabs Ltd is a manufacturer of Pharmaceuticals and Nutraceuticals[1]"
AJAXENGG,593.4,3.02,,17-Feb-2025,Equity,"₹ 6,812 Cr.",30.2,27.7 %,36.9 %,0.00 %,Capital Goods-Non Electrical Equipment,Engineering,"Incorporated in July 1992, Ajax Engineering Limited manufactures a wide range of concrete equipment and services across the value chain.[1]"
CAMLINFINE,148.4,8.35,6.0,17-Feb-2025,Equity,"₹ 2,821 Cr.",Book Value,-7.23 %,0.37 %,0.00 %,Chemicals,Chemicals,Camlin Fine Sciences is engaged in the Business of Speciality Chemicals.
CHANDAN,173.35,5.0,,17-Feb-2025,SME,₹ 424 Cr.,Book Value,-2.99 %,4.23 %,0.00 %,Healthcare,Healthcare,"Incorporated in September 2003, Chandan Healthcare Limited runs diagnostic centers in North India with pathology and radiology testing services.[1]"
ITTL,28.8,1.95,14.0,17-Feb-2025,SME,₹ 28.8 Cr.,Book Value,%,-26.6 %,0.00 %,Tyres,Tyres,"Incorporated in 1995, Innovative Tyres
and Tubes Ltd manufactures and sells
Tyres & Tubes[1]"
JALAN,12.4,4.64,3.0,17-Feb-2025,SME,₹ 18.0 Cr.,16.0,%,3.62 %,0.00 %,Logistics,Miscellaneous,"Incorporated in 2003, Jalan Transolutions Ltd is in the business of providing transportation services[1]"
JYOTI-RE1,2.11,-34.88,,17-Feb-2025,Equity,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape,Failed to scrape
NATCAPSUQ,243.0,-2.62,3.0,17-Feb-2025,Equity,₹ 246 Cr.,42.6,6.10 %,8.43 %,0.00 %,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln,"Incorporated in 1993, Natural Capsules manufactures Capsules and Steroidal APIs and their Intermediates and Derivatives[1]"
NITIRAJ,308.0,12.85,214.0,17-Feb-2025,Equity,₹ 311 Cr.,25.2,16.1 %,21.0 %,0.50 %,Electronics,Electronics - Components,"Incorporated in 1989, Nitiraj Engineers Ltd manufactures and sells Electronic Weighing Scales, Currency Counting Machines, Taxi Fare Meters, etc.[1]"
NORBTEAEXP,38.36,4.98,3.0,17-Feb-2025,Equity,₹ 45.0 Cr.,Book Value,-12.2 %,-2.57 %,0.00 %,Plantation & Plantation Products,Tea,"Incorporated in 1990, Norben Tea & Exports Limited is engaged in the business of growing and manufacturing of Tea and providing Commission."
RAJVIR,10.26,4.91,21.0,17-Feb-2025,Equity,₹ 4.10 Cr.,Book Value,%,-16.1 %,0.00 %,Textiles,Textiles - Jute - Yarn / Products,"Incorporated in 2004, Rajvir Industries Ltd is engaged in manufacturing of Yarn and Trading of raw cotton"
REDINGTON,241.99,-1.33,4.0,17-Feb-2025,Equity,"₹ 18,991 Cr.",13.6,30.9 %,28.9 %,2.55 %,Trading,Trading,"Established in the year 1993, Redington Limited is a leading distributor of IT and mobility products and a provider of supply chain management solutions and support services in India, the Middle East, Turkey and Africa."
SWANDEF,55.61,4.98,7.0,17-Feb-2025,Equity,₹ 278 Cr.,Book Value,-23.8 %,-3.53 %,0.00 %,Ship Building,Miscellaneous,"Incorporated in 1997, Reliance Naval and Engineering Ltd is engaged in the construction of vessels, repairs and refits of ships and rigs and heavy engineering"
TRANSTEEL,102.0,1.34,40.0,17-Feb-2025,SME,₹ 200 Cr.,17.2,22.0 %,23.5 %,0.00 %,Consumer Durables,Miscellaneous,"Incorporated in February 1995, Transteel is a furniture company catering to corporate and B2B sectors.[1]"
UNIVAFOODS,10.16,0.0,7.0,17-Feb-2025,Equity,₹ 14.6 Cr.,Book Value,%,-355 %,0.00 %,Hotels & Restaurants,Hotels,"Incorporated in 1991, Univa Foods Ltd (Formerly Hotel Rugby Ltd) is in the hotel business[1]"
